對獎日期,開獎號碼,預測開獎號碼範圍,對中的號碼數量,對中的號碼
['2020/3/27'],[13 19 22 30 38],"[10, 37, 33, 6, 26, 15, 30, 8, 17, 13]",2,"{13, 30}"
['2020/3/28'],[ 4  7 18 27 29],"[6, 17, 10, 9, 15, 30, 21, 25, 29, 33]",1,{29}
['2020/3/30'],[ 1  2  7 24 35],"[30, 2, 4, 31, 17, 6, 16, 25, 7, 18]",2,"{2, 7}"
['2020/3/31'],[ 6  9 24 27 37],"[25, 37, 22, 27, 34, 12, 24, 26, 3, 8]",3,"{24, 27, 37}"
['2020/4/1'],[ 7 20 23 31 35],"[20, 17, 37, 18, 23, 25, 7, 9, 36, 14]",3,"{20, 23, 7}"
['2020/4/2'],[10 11 27 28 29],"[4, 5, 16, 1, 29, 32, 13, 3, 37, 19]",1,{29}
['2020/4/3'],[ 3  8 15 17 38],"[2, 16, 33, 19, 3, 12, 30, 17, 5, 13]",2,"{17, 3}"
['2020/4/4'],[ 4 13 21 27 32],"[32, 31, 22, 9, 24, 26, 27, 11, 38, 16]",2,"{32, 27}"
['2020/4/6'],[ 3  6 16 29 30],"[10, 14, 13, 28, 21, 3, 9, 22, 35, 20]",1,{3}
['2020/4/7'],[ 2 12 13 23 28],"[8, 17, 5, 24, 36, 22, 34, 7, 35, 12]",1,{12}
['2020/4/8'],[12 26 27 28 34],"[6, 11, 27, 1, 35, 14, 17, 28, 13, 33]",2,"{27, 28}"
['2020/4/9'],[ 1  6 19 24 27],"[25, 7, 27, 14, 26, 38, 31, 37, 2, 24]",2,"{24, 27}"
['2020/4/10'],[ 6  8 11 23 39],"[26, 32, 23, 3, 36, 11, 34, 7, 2, 5]",2,"{11, 23}"
['2020/4/11'],[14 15 18 21 36],"[28, 39, 27, 15, 8, 22, 20, 34, 24, 14]",2,"{14, 15}"
['2020/4/13'],[ 3 23 25 35 36],"[39, 7, 36, 8, 16, 20, 12, 33, 22, 37]",1,{36}
['2020/4/14'],[ 8 29 33 37 38],"[28, 21, 8, 15, 9, 33, 27, 24, 38, 31]",3,"{8, 33, 38}"
['2020/4/15'],[ 4  7 10 22 28],"[10, 5, 6, 25, 11, 34, 14, 7, 30, 35]",2,"{10, 7}"
['2020/4/16'],[ 9 17 28 33 36],"[9, 24, 7, 13, 14, 38, 19, 30, 4, 22]",1,{9}
['2020/4/17'],[15 16 25 33 36],"[31, 21, 32, 28, 15, 3, 10, 7, 12, 6]",1,{15}
['2020/4/18'],[20 26 30 31 32],"[28, 18, 33, 21, 10, 6, 22, 20, 13, 5]",1,{20}
['2020/4/20'],[ 3  8 11 23 32],"[8, 3, 2, 7, 19, 10, 26, 17, 33, 29]",2,"{8, 3}"
['2020/4/21'],[ 1 17 20 32 38],"[11, 20, 38, 4, 2, 14, 17, 24, 23, 21]",3,"{17, 20, 38}"
['2020/4/22'],[ 5  6  9 30 31],"[7, 20, 36, 38, 24, 32, 12, 37, 31, 9]",2,"{9, 31}"
['2020/4/23'],[ 3 15 18 26 33],"[39, 9, 37, 18, 25, 13, 26, 15, 27, 6]",3,"{18, 26, 15}"
['2020/4/24'],[ 3  4 21 28 30],"[23, 17, 30, 20, 16, 8, 7, 31, 29, 1]",1,{30}
['2020/4/25'],[ 2  7 11 14 32],"[35, 12, 19, 15, 18, 26, 13, 10, 14, 11]",2,"{11, 14}"
['2020/4/27'],[ 8 23 24 34 36],"[1, 10, 21, 20, 22, 30, 5, 39, 13, 35]",0,
['2020/4/28'],[ 1  7  9 21 23],"[2, 5, 34, 39, 25, 15, 37, 30, 24, 35]",0,
['2020/4/29'],[ 5 10 29 32 33],"[19, 24, 12, 16, 17, 35, 22, 32, 28, 1]",1,{32}
['2020/4/30'],[ 3 17 18 23 31],"[23, 27, 35, 31, 38, 17, 19, 28, 11, 26]",3,"{17, 31, 23}"
['2020/5/1'],[ 2  9 13 14 27],"[35, 19, 17, 3, 36, 10, 31, 27, 9, 5]",2,"{9, 27}"
['2020/5/2'],[17 23 26 27 36],"[35, 17, 19, 29, 34, 21, 23, 22, 16, 10]",2,"{17, 23}"
['2020/5/4'],[ 5 13 30 35 39],"[28, 4, 35, 37, 20, 30, 29, 27, 16, 31]",2,"{35, 30}"
['2020/5/5'],[14 16 24 26 29],"[23, 18, 30, 28, 14, 36, 35, 24, 5, 17]",2,"{24, 14}"
['2020/5/6'],[ 2  4 25 29 39],"[28, 12, 10, 6, 7, 33, 17, 29, 21, 32]",1,{29}
['2020/5/7'],[ 9 14 16 25 34],"[17, 34, 6, 15, 27, 7, 3, 18, 37, 16]",2,"{16, 34}"
['2020/5/8'],[ 4  5  8 22 36],"[31, 7, 37, 18, 32, 14, 4, 19, 25, 39]",1,{4}
['2020/5/9'],[ 7  9 13 25 33],"[35, 18, 21, 32, 5, 17, 2, 6, 29, 20]",0,
['2020/5/11'],[ 5 18 25 26 38],"[10, 29, 21, 16, 18, 5, 28, 39, 25, 17]",3,"{25, 18, 5}"
['2020/5/12'],[ 8 13 21 32 36],"[37, 34, 30, 36, 38, 24, 20, 33, 39, 22]",1,{36}
['2020/5/13'],[ 2  3 12 18 22],"[19, 11, 7, 22, 30, 13, 15, 10, 18, 8]",2,"{18, 22}"
['2020/5/14'],[ 2  8 11 16 17],"[39, 1, 22, 23, 2, 38, 12, 3, 13, 32]",1,{2}
['2020/5/15'],[ 5 12 20 27 30],"[21, 23, 35, 5, 37, 34, 17, 16, 26, 29]",1,{5}
['2020/5/16'],[ 4  7  9 24 30],"[29, 37, 6, 2, 30, 24, 10, 13, 1, 38]",2,"{24, 30}"
['2020/5/18'],[ 5  7  8 36 38],"[17, 14, 31, 25, 10, 28, 32, 7, 30, 6]",1,{7}
['2020/5/19'],[ 1  2  5 21 25],"[6, 23, 33, 17, 38, 34, 31, 1, 25, 8]",2,"{1, 25}"
['2020/5/20'],[ 8 22 23 28 29],"[7, 26, 3, 21, 32, 24, 9, 1, 27, 34]",0,
['2020/5/21'],[ 2 25 27 35 39],"[17, 28, 27, 10, 30, 33, 37, 36, 18, 24]",1,{27}
['2020/5/22'],[ 5 12 15 22 30],"[9, 31, 1, 13, 24, 15, 4, 23, 3, 25]",1,{15}
['2020/5/23'],[17 20 26 35 38],"[31, 25, 6, 27, 36, 39, 11, 34, 30, 23]",0,
['2020/5/25'],[ 3  7  9 18 37],"[14, 12, 4, 6, 8, 38, 9, 34, 25, 21]",1,{9}
['2020/5/26'],[ 6 14 20 21 26],"[1, 21, 2, 38, 16, 36, 27, 25, 30, 37]",1,{21}
['2020/5/27'],[ 5 10 25 26 38],"[25, 22, 13, 18, 28, 19, 12, 9, 37, 2]",1,{25}
['2020/5/28'],[ 5  8 17 26 34],"[23, 10, 12, 37, 4, 8, 21, 6, 28, 22]",1,{8}
['2020/5/29'],[ 8 13 23 25 37],"[38, 34, 6, 19, 25, 2, 18, 1, 24, 28]",1,{25}
['2020/5/30'],[ 8 16 17 21 27],"[4, 2, 24, 15, 7, 31, 37, 27, 5, 19]",1,{27}
['2020/6/1'],[12 13 15 18 24],"[5, 31, 33, 38, 14, 26, 27, 34, 8, 36]",0,
['2020/6/2'],[10 14 17 24 26],"[19, 2, 33, 3, 37, 23, 13, 29, 17, 20]",1,{17}
['2020/6/3'],[ 3 20 28 34 36],"[15, 11, 28, 8, 4, 31, 16, 14, 33, 36]",2,"{36, 28}"
['2020/6/4'],[14 18 22 27 33],"[1, 7, 13, 5, 34, 25, 39, 35, 3, 16]",0,
['2020/6/5'],[ 4  8 12 34 37],"[31, 2, 12, 15, 23, 38, 17, 24, 25, 16]",1,{12}
['2020/6/6'],[19 29 31 35 39],"[38, 27, 14, 6, 39, 3, 25, 1, 30, 2]",1,{39}
['2020/6/8'],[ 4  7 22 29 39],"[6, 16, 38, 18, 2, 37, 35, 21, 4, 23]",1,{4}
['2020/6/9'],[ 3 19 25 32 36],"[7, 25, 10, 17, 4, 32, 13, 37, 20, 3]",3,"{32, 25, 3}"
['2020/6/10'],[ 2 22 29 34 38],"[15, 22, 30, 38, 34, 17, 16, 36, 4, 6]",3,"{34, 38, 22}"
['2020/6/11'],[ 5  6 14 19 30],"[10, 32, 30, 9, 22, 8, 21, 16, 37, 13]",1,{30}
['2020/6/12'],[10 16 17 24 27],"[2, 1, 31, 37, 25, 9, 22, 20, 26, 15]",0,
['2020/6/13'],[ 9 11 23 30 38],"[11, 13, 3, 6, 29, 20, 9, 2, 37, 28]",2,"{9, 11}"
['2020/6/15'],[10 16 18 26 32],"[4, 8, 7, 38, 2, 19, 14, 31, 13, 30]",0,
['2020/6/16'],[10 20 21 24 30],"[13, 24, 27, 29, 11, 33, 22, 32, 6, 8]",1,{24}
['2020/6/17'],[ 6 22 23 25 26],"[28, 23, 30, 9, 22, 27, 14, 8, 12, 17]",2,"{22, 23}"
['2020/6/18'],[12 17 26 38 39],"[35, 2, 26, 22, 6, 34, 37, 25, 7, 19]",1,{26}
['2020/6/19'],[ 5  9 10 21 37],"[5, 18, 19, 37, 9, 28, 32, 11, 39, 6]",3,"{9, 5, 37}"
['2020/6/20'],[ 4  8 19 24 36],"[14, 10, 18, 37, 22, 4, 11, 3, 7, 35]",1,{4}
['2020/6/22'],[18 19 22 26 30],"[9, 31, 20, 3, 30, 14, 7, 39, 33, 23]",1,{30}
['2020/6/23'],[22 23 24 33 38],"[4, 39, 25, 21, 23, 18, 10, 28, 27, 36]",1,{23}
['2020/6/24'],[ 1 11 14 15 30],"[21, 17, 25, 39, 9, 26, 28, 14, 11, 5]",2,"{11, 14}"
['2020/6/25'],[19 24 27 29 33],"[38, 14, 35, 33, 30, 36, 5, 32, 22, 34]",1,{33}
['2020/6/26'],[14 16 20 26 38],"[1, 7, 22, 5, 33, 32, 4, 19, 36, 21]",0,
['2020/6/27'],[18 24 30 34 38],"[14, 28, 2, 26, 29, 38, 39, 31, 10, 32]",1,{38}
['2020/6/29'],[ 7 18 22 27 31],"[22, 23, 33, 36, 1, 14, 34, 31, 29, 5]",2,"{22, 31}"
['2020/6/30'],[ 1 11 13 17 31],"[35, 26, 20, 31, 7, 36, 30, 29, 16, 21]",1,{31}
['2020/7/1'],[ 1  5  8 29 30],"[5, 23, 2, 6, 38, 15, 7, 39, 27, 34]",1,{5}
['2020/7/2'],[ 1  2  6  9 35],"[35, 16, 25, 14, 21, 11, 9, 18, 4, 2]",3,"{9, 2, 35}"
['2020/7/3'],[ 6 18 19 21 39],"[6, 1, 31, 24, 12, 38, 20, 10, 11, 19]",2,"{19, 6}"
['2020/7/4'],[ 5 10 26 30 34],"[37, 4, 19, 26, 6, 29, 21, 31, 7, 36]",1,{26}
['2020/7/6'],[ 5 11 14 17 23],"[2, 38, 34, 35, 9, 11, 14, 39, 8, 28]",2,"{11, 14}"
['2020/7/7'],[ 4  5  8 19 29],"[31, 30, 11, 16, 38, 21, 23, 13, 36, 22]",0,
['2020/7/8'],[ 1 13 21 27 34],"[11, 13, 9, 8, 7, 2, 33, 21, 14, 24]",2,"{21, 13}"
['2020/7/9'],[ 2  9 11 14 35],"[29, 11, 5, 1, 27, 17, 13, 8, 23, 39]",1,{11}
['2020/7/10'],[ 1  5 21 29 35],"[10, 34, 28, 15, 23, 5, 36, 4, 19, 30]",1,{5}
['2020/7/11'],[ 6  9 33 35 37],"[7, 9, 24, 10, 8, 15, 4, 38, 36, 18]",1,{9}
['2020/7/13'],[ 2  7 13 16 37],"[11, 31, 9, 10, 19, 16, 37, 6, 28, 38]",2,"{16, 37}"
['2020/7/14'],[ 7 24 32 36 39],"[32, 15, 11, 33, 18, 21, 7, 10, 2, 20]",2,"{32, 7}"
['2020/7/15'],[ 3  7 20 23 31],"[19, 26, 9, 16, 38, 24, 18, 13, 31, 29]",1,{31}
['2020/7/16'],[ 5  7 10 23 37],"[18, 35, 27, 37, 31, 8, 34, 33, 9, 15]",1,{37}
['2020/7/17'],[ 4  5 10 21 27],"[39, 15, 34, 14, 37, 23, 1, 4, 9, 20]",1,{4}
['2020/7/18'],[ 1 11 19 31 34],"[13, 10, 2, 5, 32, 12, 1, 14, 28, 20]",1,{1}
['2020/7/20'],[ 2 22 23 32 39],"[8, 1, 16, 11, 13, 27, 23, 3, 38, 22]",2,"{22, 23}"
['2020/7/21'],[ 2 13 19 32 38],"[39, 38, 33, 17, 6, 8, 9, 4, 11, 31]",1,{38}
['2020/7/22'],[ 5 20 30 35 37],"[6, 18, 4, 15, 31, 37, 13, 8, 3, 34]",1,{37}
['2020/7/23'],[ 1 10 17 33 37],"[34, 18, 15, 33, 38, 31, 2, 19, 26, 3]",1,{33}
['2020/7/24'],[ 4 11 28 32 39],"[20, 9, 22, 36, 15, 19, 2, 23, 39, 8]",1,{39}
['2020/7/25'],[ 8 23 24 28 30],"[33, 13, 19, 23, 7, 21, 16, 17, 18, 11]",1,{23}
['2020/7/27'],[ 9 18 25 33 37],"[28, 21, 4, 23, 25, 31, 18, 12, 32, 7]",2,"{25, 18}"
['2020/7/28'],[ 5 13 22 25 28],"[18, 38, 22, 17, 7, 34, 25, 2, 37, 14]",2,"{25, 22}"
['2020/7/29'],[ 6 15 24 28 31],"[4, 13, 1, 3, 26, 32, 8, 9, 22, 35]",0,
['2020/7/30'],[ 5 16 30 37 38],"[14, 8, 13, 12, 37, 2, 33, 1, 3, 21]",1,{37}
['2020/7/31'],[14 17 19 20 24],"[5, 35, 13, 28, 29, 18, 1, 20, 21, 11]",1,{20}
['2020/8/1'],[ 8 10 16 21 36],"[17, 26, 20, 2, 27, 19, 32, 28, 11, 1]",0,
['2020/8/3'],[ 2  6 21 27 29],"[18, 6, 35, 15, 24, 16, 25, 21, 32, 26]",2,"{21, 6}"
['2020/8/4'],[ 4 11 13 25 33],"[39, 34, 3, 20, 6, 21, 14, 27, 25, 10]",1,{25}
['2020/8/5'],[16 33 34 35 38],"[24, 20, 18, 1, 25, 15, 27, 28, 12, 19]",0,
['2020/8/6'],[ 7  9 17 26 37],"[10, 25, 24, 37, 5, 14, 22, 26, 16, 30]",2,"{26, 37}"
['2020/8/7'],[ 5  6 29 30 39],"[17, 5, 12, 18, 23, 2, 31, 24, 22, 37]",1,{5}
['2020/8/8'],[ 4 15 18 25 26],"[30, 33, 10, 28, 37, 13, 3, 24, 17, 14]",0,
['2020/8/10'],[23 24 29 36 39],"[7, 23, 12, 36, 33, 13, 8, 17, 5, 27]",2,"{36, 23}"
['2020/8/11'],[ 1  4 19 23 37],"[20, 25, 38, 7, 27, 5, 9, 33, 12, 31]",0,
['2020/8/12'],[ 1 13 20 25 32],"[29, 38, 34, 18, 7, 2, 13, 12, 15, 21]",1,{13}
['2020/8/13'],[15 17 18 31 33],"[16, 33, 24, 8, 34, 27, 35, 1, 13, 31]",2,"{33, 31}"
['2020/8/14'],[ 4 10 12 17 25],"[6, 35, 26, 23, 14, 24, 16, 36, 9, 13]",0,
['2020/8/15'],[13 17 18 21 31],"[34, 10, 36, 33, 23, 18, 35, 5, 9, 37]",1,{18}
['2020/8/17'],[12 18 26 28 30],"[27, 34, 31, 4, 25, 2, 19, 21, 15, 20]",0,
['2020/8/18'],[ 4 15 29 33 37],"[15, 10, 6, 29, 21, 18, 30, 2, 26, 16]",2,"{29, 15}"
['2020/8/19'],[ 1  2  4 23 28],"[22, 28, 8, 5, 19, 11, 18, 32, 6, 38]",1,{28}
['2020/8/20'],[ 8 14 20 21 30],"[23, 4, 11, 8, 10, 22, 19, 15, 31, 34]",1,{8}
['2020/8/21'],[ 3  7 17 30 31],"[2, 21, 39, 5, 36, 14, 19, 13, 37, 23]",0,
['2020/8/22'],[ 6 21 26 27 34],"[34, 37, 6, 12, 16, 28, 31, 9, 5, 20]",2,"{34, 6}"
['2020/8/24'],[13 14 28 31 35],"[3, 23, 29, 28, 9, 14, 5, 15, 11, 6]",2,"{28, 14}"
['2020/8/25'],[11 23 33 36 37],"[35, 4, 2, 39, 1, 19, 15, 11, 20, 12]",1,{11}
['2020/8/26'],[14 16 21 29 32],"[14, 28, 31, 25, 24, 10, 22, 16, 30, 1]",2,"{16, 14}"
['2020/8/27'],[17 24 29 34 39],"[3, 36, 10, 15, 21, 38, 19, 37, 2, 1]",0,
['2020/8/28'],[ 2  3 17 28 31],"[21, 32, 6, 7, 36, 13, 33, 5, 34, 38]",0,
['2020/8/29'],[ 1 10 16 27 28],"[25, 35, 28, 26, 3, 15, 4, 39, 34, 20]",1,{28}
['2020/8/31'],[ 2  6 26 29 36],"[12, 15, 11, 34, 19, 9, 23, 5, 21, 1]",0,
['2020/9/1'],[15 16 17 23 32],"[30, 6, 4, 34, 18, 35, 5, 33, 21, 14]",0,
['2020/9/2'],[11 13 20 23 39],"[7, 28, 21, 1, 18, 14, 13, 39, 34, 33]",2,"{13, 39}"
['2020/9/3'],[ 4  7 12 20 33],"[8, 39, 22, 26, 29, 4, 15, 31, 33, 6]",2,"{33, 4}"
['2020/9/4'],[ 4  9 21 23 24],"[26, 28, 6, 5, 14, 22, 34, 35, 12, 37]",0,
['2020/9/5'],[ 1 26 31 32 38],"[26, 23, 18, 30, 10, 28, 22, 39, 13, 15]",1,{26}
['2020/9/7'],[ 6 11 13 15 29],"[6, 33, 14, 30, 23, 31, 22, 38, 25, 4]",1,{6}
['2020/9/8'],[ 1  6  7 12 15],"[18, 31, 11, 24, 1, 17, 20, 36, 28, 2]",1,{1}
['2020/9/9'],[ 4  5 20 24 29],"[17, 13, 29, 15, 26, 8, 14, 36, 34, 1]",1,{29}
['2020/9/10'],[16 27 30 35 38],"[39, 5, 1, 28, 6, 15, 35, 23, 2, 10]",1,{35}
['2020/9/11'],[ 3  7  8 33 35],"[10, 14, 37, 39, 34, 15, 22, 19, 13, 20]",0,
['2020/9/12'],[ 2 15 19 27 39],"[30, 17, 7, 31, 20, 19, 8, 2, 29, 14]",2,"{2, 19}"
['2020/9/14'],[18 19 20 30 38],"[12, 38, 25, 9, 6, 37, 4, 10, 31, 7]",1,{38}
['2020/9/15'],[ 1  4 11 25 31],"[21, 10, 12, 8, 25, 39, 3, 5, 24, 17]",1,{25}
['2020/9/16'],[ 6 13 15 22 27],"[11, 10, 22, 33, 29, 35, 27, 16, 17, 13]",3,"{27, 13, 22}"
['2020/9/17'],[ 5 14 24 33 39],"[36, 18, 32, 15, 22, 12, 35, 1, 17, 20]",0,
['2020/9/18'],[ 6 18 24 27 29],"[38, 15, 26, 7, 33, 29, 2, 37, 10, 18]",2,"{18, 29}"
['2020/9/19'],[10 18 19 37 39],"[4, 22, 5, 11, 1, 31, 37, 26, 39, 29]",2,"{37, 39}"
['2020/9/21'],[ 5 10 17 19 34],"[31, 37, 22, 21, 13, 6, 3, 28, 2, 25]",0,
