對獎日期,開獎號碼,預測開獎號碼範圍,對中的號碼數量,對中的號碼
['2020/2/19'],[ 2  6 20 24 34],"[20, 2, 14, 8, 39]",2,"{2, 20}"
['2020/2/20'],[ 5 10 20 27 36],"[20, 2, 14, 8, 39]",1,{20}
['2020/2/21'],[ 4  8 20 23 27],"[20, 2, 14, 8, 39]",2,"{8, 20}"
['2020/2/22'],[13 18 19 36 37],"[20, 2, 14, 8, 39]",0,
['2020/2/24'],[ 1  2 23 29 30],"[20, 2, 14, 8, 39]",1,{2}
['2020/2/25'],[ 5  9 10 11 22],"[20, 2, 14, 8, 39]",0,
['2020/2/26'],[ 2  5 15 19 26],"[20, 2, 14, 8, 39]",1,{2}
['2020/2/27'],[17 19 28 35 36],"[20, 2, 14, 8, 39]",0,
['2020/2/28'],[ 4 10 12 17 21],"[20, 2, 14, 8, 39]",0,
['2020/2/29'],[ 7 17 20 27 39],"[20, 2, 14, 8, 39]",2,"{20, 39}"
['2020/3/2'],[ 5  6 10 26 27],"[20, 2, 14, 8, 39]",0,
['2020/3/3'],[ 3  7 15 16 29],"[20, 2, 14, 8, 39]",0,
['2020/3/4'],[ 2  7  9 17 27],"[20, 2, 14, 8, 39]",1,{2}
['2020/3/5'],[10 20 23 28 31],"[20, 2, 14, 8, 39]",1,{20}
['2020/3/6'],[ 8 11 13 15 29],"[20, 2, 14, 8, 39]",1,{8}
['2020/3/7'],[ 9 10 12 17 20],"[20, 2, 14, 8, 39]",1,{20}
['2020/3/9'],[ 6 11 18 27 28],"[20, 2, 14, 8, 39]",0,
['2020/3/10'],[16 26 27 33 34],"[20, 2, 14, 8, 39]",0,
['2020/3/11'],[ 7  9 12 14 16],"[20, 2, 14, 8, 39]",1,{14}
['2020/3/12'],[ 1 18 20 24 37],"[20, 2, 14, 8, 39]",1,{20}
['2020/3/13'],[ 3  5 10 13 29],"[20, 2, 14, 8, 39]",0,
['2020/3/14'],[ 2  6 17 20 30],"[20, 2, 14, 8, 39]",2,"{2, 20}"
['2020/3/16'],[ 1  9 11 21 32],"[20, 2, 14, 8, 39]",0,
['2020/3/17'],[ 7 16 22 29 37],"[20, 2, 14, 8, 39]",0,
['2020/3/18'],[ 5  9 20 30 38],"[20, 2, 14, 8, 39]",1,{20}
['2020/3/19'],[ 3 11 30 32 34],"[20, 2, 14, 8, 39]",0,
['2020/3/20'],[10 16 20 33 39],"[20, 2, 14, 8, 39]",2,"{20, 39}"
['2020/3/21'],[ 3  7 16 22 31],"[20, 2, 14, 8, 39]",0,
['2020/3/23'],[ 5  6 16 27 31],"[20, 2, 14, 8, 39]",0,
['2020/3/24'],[ 9 12 25 26 30],"[20, 2, 14, 8, 39]",0,
['2020/3/25'],[ 5  8 23 29 32],"[20, 2, 14, 8, 39]",1,{8}
['2020/3/26'],[ 3 19 27 28 30],"[20, 2, 14, 8, 39]",0,
['2020/3/27'],[13 19 22 30 38],"[20, 2, 14, 8, 39]",0,
['2020/3/28'],[ 4  7 18 27 29],"[20, 2, 14, 8, 39]",0,
['2020/3/30'],[ 1  2  7 24 35],"[20, 2, 14, 8, 39]",1,{2}
['2020/3/31'],[ 6  9 24 27 37],"[20, 2, 14, 8, 39]",0,
['2020/4/1'],[ 7 20 23 31 35],"[20, 2, 14, 8, 39]",1,{20}
['2020/4/2'],[10 11 27 28 29],"[20, 2, 14, 8, 39]",0,
['2020/4/3'],[ 3  8 15 17 38],"[20, 2, 14, 8, 39]",1,{8}
['2020/4/4'],[ 4 13 21 27 32],"[20, 2, 14, 8, 39]",0,
['2020/4/6'],[ 3  6 16 29 30],"[20, 2, 14, 8, 39]",0,
['2020/4/7'],[ 2 12 13 23 28],"[20, 2, 14, 8, 39]",1,{2}
['2020/4/8'],[12 26 27 28 34],"[20, 2, 14, 8, 39]",0,
['2020/4/9'],[ 1  6 19 24 27],"[20, 2, 14, 8, 39]",0,
['2020/4/10'],[ 6  8 11 23 39],"[20, 2, 14, 8, 39]",2,"{8, 39}"
['2020/4/11'],[14 15 18 21 36],"[20, 2, 14, 8, 39]",1,{14}
['2020/4/13'],[ 3 23 25 35 36],"[20, 2, 14, 8, 39]",0,
['2020/4/14'],[ 8 29 33 37 38],"[20, 2, 14, 8, 39]",1,{8}
['2020/4/15'],[ 4  7 10 22 28],"[20, 2, 14, 8, 39]",0,
['2020/4/16'],[ 9 17 28 33 36],"[20, 2, 14, 8, 39]",0,
['2020/4/17'],[15 16 25 33 36],"[20, 2, 14, 8, 39]",0,
['2020/4/18'],[20 26 30 31 32],"[20, 2, 14, 8, 39]",1,{20}
['2020/4/20'],[ 3  8 11 23 32],"[20, 2, 14, 8, 39]",1,{8}
['2020/4/21'],[ 1 17 20 32 38],"[20, 2, 14, 8, 39]",1,{20}
['2020/4/22'],[ 5  6  9 30 31],"[20, 2, 14, 8, 39]",0,
['2020/4/23'],[ 3 15 18 26 33],"[20, 2, 14, 8, 39]",0,
['2020/4/24'],[ 3  4 21 28 30],"[20, 2, 14, 8, 39]",0,
['2020/4/25'],[ 2  7 11 14 32],"[20, 2, 14, 8, 39]",2,"{2, 14}"
['2020/4/27'],[ 8 23 24 34 36],"[20, 2, 14, 8, 39]",1,{8}
['2020/4/28'],[ 1  7  9 21 23],"[20, 2, 14, 8, 39]",0,
['2020/4/29'],[ 5 10 29 32 33],"[20, 2, 14, 8, 39]",0,
['2020/4/30'],[ 3 17 18 23 31],"[20, 2, 14, 8, 39]",0,
['2020/5/1'],[ 2  9 13 14 27],"[20, 2, 14, 8, 39]",2,"{2, 14}"
['2020/5/2'],[17 23 26 27 36],"[20, 2, 14, 8, 39]",0,
['2020/5/4'],[ 5 13 30 35 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/5/5'],[14 16 24 26 29],"[20, 2, 14, 8, 39]",1,{14}
['2020/5/6'],[ 2  4 25 29 39],"[20, 2, 14, 8, 39]",2,"{2, 39}"
['2020/5/7'],[ 9 14 16 25 34],"[20, 2, 14, 8, 39]",1,{14}
['2020/5/8'],[ 4  5  8 22 36],"[20, 2, 14, 8, 39]",1,{8}
['2020/5/9'],[ 7  9 13 25 33],"[20, 2, 14, 8, 39]",0,
['2020/5/11'],[ 5 18 25 26 38],"[20, 2, 14, 8, 39]",0,
['2020/5/12'],[ 8 13 21 32 36],"[20, 2, 14, 8, 39]",1,{8}
['2020/5/13'],[ 2  3 12 18 22],"[20, 2, 14, 8, 39]",1,{2}
['2020/5/14'],[ 2  8 11 16 17],"[20, 2, 14, 8, 39]",2,"{8, 2}"
['2020/5/15'],[ 5 12 20 27 30],"[20, 2, 14, 8, 39]",1,{20}
['2020/5/16'],[ 4  7  9 24 30],"[20, 2, 14, 8, 39]",0,
['2020/5/18'],[ 5  7  8 36 38],"[20, 2, 14, 8, 39]",1,{8}
['2020/5/19'],[ 1  2  5 21 25],"[20, 2, 14, 8, 39]",1,{2}
['2020/5/20'],[ 8 22 23 28 29],"[20, 2, 14, 8, 39]",1,{8}
['2020/5/21'],[ 2 25 27 35 39],"[20, 2, 14, 8, 39]",2,"{2, 39}"
['2020/5/22'],[ 5 12 15 22 30],"[20, 2, 14, 8, 39]",0,
['2020/5/23'],[17 20 26 35 38],"[20, 2, 14, 8, 39]",1,{20}
['2020/5/25'],[ 3  7  9 18 37],"[20, 2, 14, 8, 39]",0,
['2020/5/26'],[ 6 14 20 21 26],"[20, 2, 14, 8, 39]",2,"{20, 14}"
['2020/5/27'],[ 5 10 25 26 38],"[20, 2, 14, 8, 39]",0,
['2020/5/28'],[ 5  8 17 26 34],"[20, 2, 14, 8, 39]",1,{8}
['2020/5/29'],[ 8 13 23 25 37],"[20, 2, 14, 8, 39]",1,{8}
['2020/5/30'],[ 8 16 17 21 27],"[20, 2, 14, 8, 39]",1,{8}
['2020/6/1'],[12 13 15 18 24],"[20, 2, 14, 8, 39]",0,
['2020/6/2'],[10 14 17 24 26],"[20, 2, 14, 8, 39]",1,{14}
['2020/6/3'],[ 3 20 28 34 36],"[20, 2, 14, 8, 39]",1,{20}
['2020/6/4'],[14 18 22 27 33],"[20, 2, 14, 8, 39]",1,{14}
['2020/6/5'],[ 4  8 12 34 37],"[20, 2, 14, 8, 39]",1,{8}
['2020/6/6'],[19 29 31 35 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/6/8'],[ 4  7 22 29 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/6/9'],[ 3 19 25 32 36],"[20, 2, 14, 8, 39]",0,
['2020/6/10'],[ 2 22 29 34 38],"[20, 2, 14, 8, 39]",1,{2}
['2020/6/11'],[ 5  6 14 19 30],"[20, 2, 14, 8, 39]",1,{14}
['2020/6/12'],[10 16 17 24 27],"[20, 2, 14, 8, 39]",0,
['2020/6/13'],[ 9 11 23 30 38],"[20, 2, 14, 8, 39]",0,
['2020/6/15'],[10 16 18 26 32],"[20, 2, 14, 8, 39]",0,
['2020/6/16'],[10 20 21 24 30],"[20, 2, 14, 8, 39]",1,{20}
['2020/6/17'],[ 6 22 23 25 26],"[20, 2, 14, 8, 39]",0,
['2020/6/18'],[12 17 26 38 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/6/19'],[ 5  9 10 21 37],"[20, 2, 14, 8, 39]",0,
['2020/6/20'],[ 4  8 19 24 36],"[20, 2, 14, 8, 39]",1,{8}
['2020/6/22'],[18 19 22 26 30],"[20, 2, 14, 8, 39]",0,
['2020/6/23'],[22 23 24 33 38],"[20, 2, 14, 8, 39]",0,
['2020/6/24'],[ 1 11 14 15 30],"[20, 2, 14, 8, 39]",1,{14}
['2020/6/25'],[19 24 27 29 33],"[20, 2, 14, 8, 39]",0,
['2020/6/26'],[14 16 20 26 38],"[20, 2, 14, 8, 39]",2,"{20, 14}"
['2020/6/27'],[18 24 30 34 38],"[20, 2, 14, 8, 39]",0,
['2020/6/29'],[ 7 18 22 27 31],"[20, 2, 14, 8, 39]",0,
['2020/6/30'],[ 1 11 13 17 31],"[20, 2, 14, 8, 39]",0,
['2020/7/1'],[ 1  5  8 29 30],"[20, 2, 14, 8, 39]",1,{8}
['2020/7/2'],[ 1  2  6  9 35],"[20, 2, 14, 8, 39]",1,{2}
['2020/7/3'],[ 6 18 19 21 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/7/4'],[ 5 10 26 30 34],"[20, 2, 14, 8, 39]",0,
['2020/7/6'],[ 5 11 14 17 23],"[20, 2, 14, 8, 39]",1,{14}
['2020/7/7'],[ 4  5  8 19 29],"[20, 2, 14, 8, 39]",1,{8}
['2020/7/8'],[ 1 13 21 27 34],"[20, 2, 14, 8, 39]",0,
['2020/7/9'],[ 2  9 11 14 35],"[20, 2, 14, 8, 39]",2,"{2, 14}"
['2020/7/10'],[ 1  5 21 29 35],"[20, 2, 14, 8, 39]",0,
['2020/7/11'],[ 6  9 33 35 37],"[20, 2, 14, 8, 39]",0,
['2020/7/13'],[ 2  7 13 16 37],"[20, 2, 14, 8, 39]",1,{2}
['2020/7/14'],[ 7 24 32 36 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/7/15'],[ 3  7 20 23 31],"[20, 2, 14, 8, 39]",1,{20}
['2020/7/16'],[ 5  7 10 23 37],"[20, 2, 14, 8, 39]",0,
['2020/7/17'],[ 4  5 10 21 27],"[20, 2, 14, 8, 39]",0,
['2020/7/18'],[ 1 11 19 31 34],"[20, 2, 14, 8, 39]",0,
['2020/7/20'],[ 2 22 23 32 39],"[20, 2, 14, 8, 39]",2,"{2, 39}"
['2020/7/21'],[ 2 13 19 32 38],"[20, 2, 14, 8, 39]",1,{2}
['2020/7/22'],[ 5 20 30 35 37],"[20, 2, 14, 8, 39]",1,{20}
['2020/7/23'],[ 1 10 17 33 37],"[20, 2, 14, 8, 39]",0,
['2020/7/24'],[ 4 11 28 32 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/7/25'],[ 8 23 24 28 30],"[20, 2, 14, 8, 39]",1,{8}
['2020/7/27'],[ 9 18 25 33 37],"[20, 2, 14, 8, 39]",0,
['2020/7/28'],[ 5 13 22 25 28],"[20, 2, 14, 8, 39]",0,
['2020/7/29'],[ 6 15 24 28 31],"[20, 2, 14, 8, 39]",0,
['2020/7/30'],[ 5 16 30 37 38],"[20, 2, 14, 8, 39]",0,
['2020/7/31'],[14 17 19 20 24],"[20, 2, 14, 8, 39]",2,"{20, 14}"
['2020/8/1'],[ 8 10 16 21 36],"[20, 2, 14, 8, 39]",1,{8}
['2020/8/3'],[ 2  6 21 27 29],"[20, 2, 14, 8, 39]",1,{2}
['2020/8/4'],[ 4 11 13 25 33],"[20, 2, 14, 8, 39]",0,
['2020/8/5'],[16 33 34 35 38],"[20, 2, 14, 8, 39]",0,
['2020/8/6'],[ 7  9 17 26 37],"[20, 2, 14, 8, 39]",0,
['2020/8/7'],[ 5  6 29 30 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/8/8'],[ 4 15 18 25 26],"[20, 2, 14, 8, 39]",0,
['2020/8/10'],[23 24 29 36 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/8/11'],[ 1  4 19 23 37],"[20, 2, 14, 8, 39]",0,
['2020/8/12'],[ 1 13 20 25 32],"[20, 2, 14, 8, 39]",1,{20}
['2020/8/13'],[15 17 18 31 33],"[20, 2, 14, 8, 39]",0,
['2020/8/14'],[ 4 10 12 17 25],"[20, 2, 14, 8, 39]",0,
['2020/8/15'],[13 17 18 21 31],"[20, 2, 14, 8, 39]",0,
['2020/8/17'],[12 18 26 28 30],"[20, 2, 14, 8, 39]",0,
['2020/8/18'],[ 4 15 29 33 37],"[20, 2, 14, 8, 39]",0,
['2020/8/19'],[ 1  2  4 23 28],"[20, 2, 14, 8, 39]",1,{2}
['2020/8/20'],[ 8 14 20 21 30],"[20, 2, 14, 8, 39]",3,"{8, 20, 14}"
['2020/8/21'],[ 3  7 17 30 31],"[20, 2, 14, 8, 39]",0,
['2020/8/22'],[ 6 21 26 27 34],"[20, 2, 14, 8, 39]",0,
['2020/8/24'],[13 14 28 31 35],"[20, 2, 14, 8, 39]",1,{14}
['2020/8/25'],[11 23 33 36 37],"[20, 2, 14, 8, 39]",0,
['2020/8/26'],[14 16 21 29 32],"[20, 2, 14, 8, 39]",1,{14}
['2020/8/27'],[17 24 29 34 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/8/28'],[ 2  3 17 28 31],"[20, 2, 14, 8, 39]",1,{2}
['2020/8/29'],[ 1 10 16 27 28],"[20, 2, 14, 8, 39]",0,
['2020/8/31'],[ 2  6 26 29 36],"[20, 2, 14, 8, 39]",1,{2}
['2020/9/1'],[15 16 17 23 32],"[20, 2, 14, 8, 39]",0,
['2020/9/2'],[11 13 20 23 39],"[20, 2, 14, 8, 39]",2,"{20, 39}"
['2020/9/3'],[ 4  7 12 20 33],"[20, 2, 14, 8, 39]",1,{20}
['2020/9/4'],[ 4  9 21 23 24],"[20, 2, 14, 8, 39]",0,
['2020/9/5'],[ 1 26 31 32 38],"[20, 2, 14, 8, 39]",0,
['2020/9/7'],[ 6 11 13 15 29],"[20, 2, 14, 8, 39]",0,
['2020/9/8'],[ 1  6  7 12 15],"[20, 2, 14, 8, 39]",0,
['2020/9/9'],[ 4  5 20 24 29],"[20, 2, 14, 8, 39]",1,{20}
['2020/9/10'],[16 27 30 35 38],"[20, 2, 14, 8, 39]",0,
['2020/9/11'],[ 3  7  8 33 35],"[20, 2, 14, 8, 39]",1,{8}
['2020/9/12'],[ 2 15 19 27 39],"[20, 2, 14, 8, 39]",2,"{2, 39}"
['2020/9/14'],[18 19 20 30 38],"[20, 2, 14, 8, 39]",1,{20}
['2020/9/15'],[ 1  4 11 25 31],"[20, 2, 14, 8, 39]",0,
['2020/9/16'],[ 6 13 15 22 27],"[20, 2, 14, 8, 39]",0,
['2020/9/17'],[ 5 14 24 33 39],"[20, 2, 14, 8, 39]",2,"{14, 39}"
['2020/9/18'],[ 6 18 24 27 29],"[20, 2, 14, 8, 39]",0,
['2020/9/19'],[10 18 19 37 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/9/21'],[ 5 10 17 19 34],"[20, 2, 14, 8, 39]",0,
['2020/9/22'],[17 20 23 24 39],"[20, 2, 14, 8, 39]",2,"{20, 39}"
['2020/9/23'],[ 6 12 17 32 36],"[20, 2, 14, 8, 39]",0,
['2020/9/24'],[ 5 10 15 24 27],"[20, 2, 14, 8, 39]",0,
['2020/9/25'],[ 1  9 14 17 18],"[20, 2, 14, 8, 39]",1,{14}
['2020/9/26'],[22 24 27 29 34],"[20, 2, 14, 8, 39]",0,
['2020/9/28'],[ 7 20 26 27 30],"[20, 2, 14, 8, 39]",1,{20}
['2020/9/29'],[ 6 20 22 30 36],"[20, 2, 14, 8, 39]",1,{20}
['2020/9/30'],[21 27 28 34 37],"[20, 2, 14, 8, 39]",0,
['2020/10/1'],[ 1  6 21 35 36],"[20, 2, 14, 8, 39]",0,
['2020/10/2'],[17 18 20 24 34],"[20, 2, 14, 8, 39]",1,{20}
['2020/10/3'],[ 7 15 20 30 37],"[20, 2, 14, 8, 39]",1,{20}
['2020/10/5'],[ 6 20 22 27 35],"[20, 2, 14, 8, 39]",1,{20}
['2020/10/6'],[ 6 20 25 32 37],"[20, 2, 14, 8, 39]",1,{20}
['2020/10/7'],[ 5  9 13 21 34],"[20, 2, 14, 8, 39]",0,
['2020/10/8'],[ 3  8 11 19 38],"[20, 2, 14, 8, 39]",1,{8}
['2020/10/9'],[13 16 25 26 31],"[20, 2, 14, 8, 39]",0,
['2020/10/10'],[ 4  8 23 24 34],"[20, 2, 14, 8, 39]",1,{8}
['2020/10/12'],[ 6 22 24 29 33],"[20, 2, 14, 8, 39]",0,
['2020/10/13'],[ 4  8 17 26 30],"[20, 2, 14, 8, 39]",1,{8}
['2020/10/14'],[ 1  9 33 34 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/10/15'],[ 8 14 18 20 23],"[20, 2, 14, 8, 39]",3,"{8, 20, 14}"
['2020/10/16'],[22 26 32 33 38],"[20, 2, 14, 8, 39]",0,
['2020/10/17'],[18 20 21 24 25],"[20, 2, 14, 8, 39]",1,{20}
['2020/10/19'],[ 4  6 16 23 36],"[20, 2, 14, 8, 39]",0,
['2020/10/20'],[ 1 10 23 27 36],"[20, 2, 14, 8, 39]",0,
['2020/10/21'],[ 2 14 20 22 29],"[20, 2, 14, 8, 39]",3,"{2, 20, 14}"
['2020/10/22'],[ 1  9 11 27 31],"[20, 2, 14, 8, 39]",0,
['2020/10/23'],[ 2  3 20 21 34],"[20, 2, 14, 8, 39]",2,"{2, 20}"
['2020/10/24'],[ 9 10 15 27 32],"[20, 2, 14, 8, 39]",0,
['2020/10/26'],[ 3  9 14 26 33],"[20, 2, 14, 8, 39]",1,{14}
['2020/10/27'],[ 8 18 23 24 31],"[20, 2, 14, 8, 39]",1,{8}
['2020/10/28'],[13 20 26 37 38],"[20, 2, 14, 8, 39]",1,{20}
['2020/10/29'],[ 4 23 25 35 38],"[20, 2, 14, 8, 39]",0,
['2020/10/30'],[ 3  9 24 35 38],"[20, 2, 14, 8, 39]",0,
['2020/10/31'],[ 6  7  9 21 32],"[20, 2, 14, 8, 39]",0,
['2020/11/2'],[12 29 31 36 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/11/3'],[ 4 17 24 25 28],"[20, 2, 14, 8, 39]",0,
['2020/11/4'],[ 2 12 17 34 38],"[20, 2, 14, 8, 39]",1,{2}
['2020/11/5'],[19 20 25 30 37],"[20, 2, 14, 8, 39]",1,{20}
['2020/11/6'],[ 1  4  7  8 39],"[20, 2, 14, 8, 39]",2,"{8, 39}"
['2020/11/7'],[ 4  8 21 24 26],"[20, 2, 14, 8, 39]",1,{8}
['2020/11/9'],[ 6  8 17 24 38],"[20, 2, 14, 8, 39]",1,{8}
['2020/11/10'],[ 5 19 26 28 29],"[20, 2, 14, 8, 39]",0,
['2020/11/11'],[22 31 35 38 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/11/12'],[ 4 18 27 29 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/11/13'],[ 1  7 11 24 39],"[20, 2, 14, 8, 39]",1,{39}
['2020/11/14'],[ 2  3  7 30 36],"[20, 2, 14, 8, 39]",1,{2}
['2020/11/16'],[10 11 13 23 38],"[20, 2, 14, 8, 39]",0,
['2020/11/17'],[11 14 17 19 24],"[20, 2, 14, 8, 39]",1,{14}
['2020/11/18'],[ 1  7 15 17 18],"[20, 2, 14, 8, 39]",0,
['2020/11/19'],[ 6 10 13 16 27],"[20, 2, 14, 8, 39]",0,
['2020/11/20'],[ 6 11 27 37 38],"[20, 2, 14, 8, 39]",0,
['2020/11/21'],[ 8 11 13 14 26],"[20, 2, 14, 8, 39]",2,"{8, 14}"
['2020/11/23'],[ 2  4 13 23 28],"[20, 2, 14, 8, 39]",1,{2}
['2020/11/24'],[ 4  8 17 18 26],"[20, 2, 14, 8, 39]",1,{8}
['2020/11/25'],[ 6 16 25 28 36],"[20, 2, 14, 8, 39]",0,
['2020/11/26'],[12 17 21 28 35],"[20, 2, 14, 8, 39]",0,
['2020/11/27'],[15 24 25 26 32],"[20, 2, 14, 8, 39]",0,
['2020/11/28'],[ 1  2  4 17 20],"[20, 2, 14, 8, 39]",2,"{2, 20}"
['2020/11/30'],[ 9 17 25 28 36],"[20, 2, 14, 8, 39]",0,
['2020/12/1'],[ 1 11 19 26 32],"[20, 2, 14, 8, 39]",0,
['2020/12/2'],[ 3 10 16 24 37],"[20, 2, 14, 8, 39]",0,
['2020/12/3'],[ 1  3 19 20 37],"[20, 2, 14, 8, 39]",1,{20}
['2020/12/4'],[ 2  7 22 31 37],"[20, 2, 14, 8, 39]",1,{2}
['2020/12/5'],[ 8 18 20 29 35],"[20, 2, 14, 8, 39]",2,"{8, 20}"
['2020/12/7'],[ 9 12 22 30 35],"[20, 2, 14, 8, 39]",0,
['2020/12/8'],[ 1 21 24 28 34],"[20, 2, 14, 8, 39]",0,
['2020/12/9'],[12 13 15 28 33],"[20, 2, 14, 8, 39]",0,
['2020/12/10'],[ 6 10 11 26 27],"[20, 2, 14, 8, 39]",0,
['2020/12/11'],[ 5  6 12 19 33],"[20, 2, 14, 8, 39]",0,
['2020/12/12'],[ 8 14 15 24 27],"[20, 2, 14, 8, 39]",2,"{8, 14}"
['2020/12/14'],[ 5 14 17 19 20],"[20, 2, 14, 8, 39]",2,"{20, 14}"
['2020/12/15'],[ 1 11 23 25 35],"[20, 2, 14, 8, 39]",0,
['2020/12/16'],[ 8 15 17 34 36],"[20, 2, 14, 8, 39]",1,{8}
['2020/12/17'],[ 7 11 15 16 20],"[20, 2, 14, 8, 39]",1,{20}
['2020/12/18'],[ 2 12 15 22 35],"[20, 2, 14, 8, 39]",1,{2}
['2020/12/19'],[ 9 14 18 29 36],"[20, 2, 14, 8, 39]",1,{14}
['2020/12/21'],[ 2  8 15 17 24],"[20, 2, 14, 8, 39]",2,"{8, 2}"
['2020/12/22'],[ 2 15 23 29 38],"[20, 2, 14, 8, 39]",1,{2}
['2020/12/23'],[ 7 24 28 32 38],"[20, 2, 14, 8, 39]",0,
['2020/12/24'],[ 1 19 23 30 36],"[20, 2, 14, 8, 39]",0,
['2020/12/25'],[ 1  5 19 32 37],"[20, 2, 14, 8, 39]",0,
['2020/12/26'],[ 5  9 15 20 24],"[20, 2, 14, 8, 39]",1,{20}
['2020/12/28'],[11 15 25 32 35],"[20, 2, 14, 8, 39]",0,
['2020/12/29'],[ 9 16 21 28 38],"[20, 2, 14, 8, 39]",0,
['2020/12/30'],[ 3  5 21 34 36],"[20, 2, 14, 8, 39]",0,
['2020/12/31'],[ 1 10 14 20 34],"[20, 2, 14, 8, 39]",2,"{20, 14}"
['2021/1/1'],[18 24 26 35 37],"[20, 2, 14, 8, 39]",0,
['2021/1/2'],[ 4  6 11 17 34],"[20, 2, 14, 8, 39]",0,
['2021/1/4'],[ 2  3 16 22 32],"[20, 2, 14, 8, 39]",1,{2}
['2021/1/5'],[ 1 11 20 28 36],"[20, 2, 14, 8, 39]",1,{20}
